dataset,method,config,feature_set,split_policy,seed,precision,recall,f1,fpr,accuracy,weighted_f1,roc_auc,tp,fp,fn,tn,threshold,threshold_selected_on,n_train,n_test,inference_latency_ms,model_size_kb,notes
data4cyber,proposed,P6,saurabh49,project_standard,42,0.976766,0.988246,0.982472,0.001561,0.997804,0.99781,0.999826,5297,126,63,80576,0.51,validation_constrained,296846,86062,0.001372,0.0,Proposed XGBoost pipeline (train_time=84.16s)
data4cyber,proposed,P6,data4cyber_140,project_standard,42,0.861004,0.929167,0.893788,0.18509,0.878021,0.877211,0.90165,1784,288,136,1268,0.51,validation_constrained,8598,3476,0.01091,0.0,Proposed XGBoost pipeline (train_time=16.99s)
