dataset,method,config,feature_set,split_policy,seed,precision,recall,f1,fpr,accuracy,weighted_f1,roc_auc,tp,fp,fn,tn,threshold,threshold_selected_on,n_train,n_test,inference_latency_ms,model_size_kb,notes
data4cyber,saurabh,saurabh_full,saurabh49,project_standard,42,0.975336,0.988619,0.981933,0.00166,0.997734,0.997741,0.999826,5299,134,61,80568,0.5,validation_adaptive,296846,86062,0.00351,0.0,Saurabh pipeline (train_time=6.50s)
data4cyber,saurabh,saurabh_full,data4cyber_140,project_standard,42,0.860723,0.930208,0.894118,0.185733,0.878308,0.87748,0.90165,1786,289,134,1267,0.5,validation_adaptive,8598,3476,0.045269,0.0,Saurabh pipeline (train_time=6.53s)
