dataset,method,config,feature_set,split_policy,seed,precision,recall,f1,fpr,accuracy,weighted_f1,roc_auc,tp,fp,fn,tn,threshold,threshold_selected_on,n_train,n_test,inference_latency_ms,model_size_kb,notes
data4cyber,base,base_paper,base38,project_standard,42,0.790251,0.958769,0.866391,0.016902,0.981583,0.982405,0.996255,5139,1364,221,79338,0.662653,validation,296846,86062,0.000461,0.0,Base XGBoost (train_time=1.34s)
data4cyber,base,base_paper,data4cyber_140,project_standard,42,0.856729,0.925,0.889557,0.190874,0.87313,0.872281,0.899021,1776,297,144,1259,0.362276,validation,8598,3476,0.001574,0.0,Base XGBoost (train_time=3.25s)
